P45985	Q14315
P12830	Q96AG4
P12830	Q9NU19
P12830	Q9NX02
P12830	Q9NWQ8
P12830	Q5T6F2
P12830	Q9UHR4
P12830	Q5T5P2
P12830	Q9BR76
P12830	Q5SYE7
P12830	Q96KG9
P12830	Q9ULH7
P12830	Q9ULH0
P12830	Q96NW7
P12830	Q7Z6J0
P12830	Q9UBC2
P12830	Q96TA1
P12830	Q96C19
P12830	Q96JH7
P12830	Q9NSV4
P12830	Q96FG2
P12830	Q96A49
P12830	Q5R3F8
P12830	Q8WVQ1
P12830	Q86VR7
P12830	Q5VWQ8
P12830	Q8N4S9
P12830	Q96KN1
P12830	Q658Y4
P12830	Q8N3D4
P12830	Q6ZRV2
P12830	Q6ZN28
P12830	A8MQT2
P12830	Q8IUW5
P12830	Q13190
P12830	Q9H7U1
P40337	Q76N32
Q8IXT1	O43707
Q8IXT1	Q9H063
Q8IXT1	O15162
Q8IXT1	P53396
Q9UNE7	Q8IXT1
Q15691	Q9UJP4
Q6NSJ2	Q00987
P49841	O60716
Q9HAU4	O14713
Q06609	P15374
Q8NFG4	Q16543
Q8NFG4	Q15185
Q8TF40	P04150
Q8TF40	P11802
Q9P278	Q16543
Q9P278	P04150
Q9P278	Q9P278
P63104	Q15154
P27469	Q96AD5
Q96EB6	Q99608
Q3V6T2	P00533
P47712	Q8IXJ6
P24941	Q8IXJ6
Q15722	P04839
Q92915	Q9UQD0
Q99735	Q99735
P43088	P30556
P30556	P43088
P30556	P35354
Q16644	Q14457
Q96AQ7	P18146
Q15910	P41235
Q15022	P41235
P41235	P35226
O14745	Q92887
Q14134	O14641
Q92887	Q5T2W1
Q92887	P34932
Q9P0J1	P24752
Q9P0J1	P11362
Q9P0J1	P00533
P26378	Q9NZI8
P10636	Q9NY61
Q9NUM4	Q9UQN3
P29350	Q15303
Q06124	Q15303
P04626	Q15256
P08069	Q15256
P22455	P29350
P00533	Q9HD43
P04626	Q92729
P00533	O95147
P00533	O60487
P04626	Q9HD43
P08069	O60487
P06213	P35813
P06213	Q8NEJ0
P29317	Q68J44
P00533	B2RTY4
P00533	O14602
P00533	O15027
P00533	O15209
P00533	O43524
P00533	O43781
P00533	O94933
P00533	O95477
P00533	O96013
P00533	P02765
P00533	P05387
P00533	P12532
P00533	P17987
P00533	P18124
P00533	P19256
P00533	P23396
P00533	P24821
P00533	P25788
P00533	P26583
P00533	P27816
P00533	P36406
P00533	P49411
P00533	P55081
P00533	P58004
P00533	Q13428
P00533	Q13442
P00533	Q13488
P00533	Q13547
P00533	Q14123
P00533	Q14157
P00533	Q14498
P00533	Q14781
P00533	Q32P28
P00533	Q4L235
P00533	Q5JUK9
P00533	Q5T5P2
P00533	Q5VZL5
P00533	Q5XG92
P00533	Q6AWC2
P00533	Q6FI13
P00533	Q71RC9
P00533	Q7Z2X4
P00533	Q7Z333
P00533	Q8IYB3
P00533	Q8N108
P00533	Q8N2C7
P00533	Q8N7B9
P00533	Q8N983
P00533	Q8NC26
P00533	Q8NC51
P00533	Q8ND56
P00533	Q8TD08
P00533	Q8WVP7
P00533	Q8WZ75
P00533	Q92504
P00533	Q92620
P00533	Q96B96
P00533	Q96BY6
P00533	Q96DY7
P00533	Q96NL0
P00533	Q96P63
P00533	Q96T58
P00533	Q99816
P00533	Q99932
P00533	Q9BQ24
P00533	Q9BSW7
P00533	Q9BWN1
P00533	Q9BX97
P00533	Q9H1E3
P00533	Q9H9Y2
P00533	Q9NQS7
P00533	Q9NQT5
P00533	Q9NUC0
P00533	Q9P258
P00533	Q9UHN6
P00533	Q9UJ41
P00533	Q9UNF1
P00533	Q9UPX8
P00533	Q9Y3M2
P00533	Q9Y4P8
P00533	Q9Y5H0
P00533	P35908
P00533	Q86SP6
P15170	Q96SW2
Q13422	Q16531
P15170	Q16531
P54274	Q9Y5A7
Q6S5L8	P00533
P98077	P62993
P35240	P00533
Q9UQ80	P34932
P61081	P54274
Q9UNH5	Q14999
P30305	P49593
P30307	O95067
P30307	Q9UMX1
O14595	P13674
Q05D32	O00505
Q68J44	P43304
Q68J44	P11177
Q9Y6W6	O14936
O95147	Q9UKK9
Q8WTR2	Q562R1
Q8WTR2	P63261
Q8WTR2	P67775
Q8WTR2	P63151
Q9BVJ7	O00444
Q4G0W2	Q6ZT12
Q13115	P28482
Q13202	P45983
Q99956	P49642
Q99502	O75531
Q99502	P42166
O95677	Q8IUD2
O95677	P15927
O95677	Q9UIU6
O95677	O00267
Q13496	P10321
Q13496	P13647
A4FU01	O95831
A4FU01	Q13614
A4FU01	Q3ZCQ8
A4FU01	Q9BUF5
Q8NCE2	O95573
Q8NCE2	O60488
Q8NCE2	P14735
Q8NCE2	Q15063
Q13614	O60826
Q13614	Q13613
Q13614	P68363
Q9NYA4	Q13615
Q9Y216	P51946
Q9P0J1	Q10713
Q9P2J9	O76031
Q9P2J9	Q96TA2
O60346	Q9UIM3
O60346	P30153
O60346	P63151
Q6ZVD8	Q09019
O14830	Q9ULX6
O14830	O60271
P35813	Q6YN16
P35813	Q96ST2
P35813	O96013
P35813	Q7Z7L1
O15297	O00505
O15297	O60271
Q8WY54	P13073
Q8WY54	P10321
O15355	P53621
O15355	P35606
O15355	P49915
O15355	Q9Y606
O15355	P18754
O15355	P34897
Q9ULR3	P31946
Q9ULR3	P62258
Q9ULR3	P27348
Q5JR12	P61158
Q5JR12	Q07812
Q5JR12	Q96MI6
P62136	P49840
P62136	Q9NWS0
P62136	Q15554
P62140	Q9BTT6
P36873	P37058
P67775	Q6PID6
P67775	P13051
P62714	Q8N461
P62714	O60343
P62714	Q6PID6
Q08209	Q53QV2
Q08209	Q9BPX3
Q08209	P68363
P16298	P0DP24
P16298	Q53QV2
P16298	P63098
P48454	Q53QV2
P60510	P63151
O75365	Q7Z6Z7
A2A3K4	P28482
Q8WUK0	Q96P70
Q8WUK0	Q8WUM0
Q8WUK0	Q9C0E2
Q05209	Q9H939
Q99952	O95831
Q99952	O00170
Q99952	O95816
Q99952	Q13015
Q99952	O75694
Q99952	Q9H939
Q99952	Q9BRK5
Q99952	Q9UJZ1
Q99952	Q13885
P17706	O43852
P17706	Q6P4E1
P17706	P12081
P17706	P52294
P17706	P35998
P17706	P62195
P17706	P62333
P17706	P55036
P17706	Q15008
Q16825	Q93052
Q16825	O15212
Q9Y2R2	Q9H939
Q9H3S7	Q00610
P26045	Q8TAA9
P26045	P62258
P26045	P27348
P29074	P40855
P29074	P61981
P29074	Q04917
P54829	P13746
P18433	P36404
P18433	Q99700
P18433	P23469
P18433	Q9BRG1
P23468	Q9UBF2
P23469	P62993
P23469	Q9C0E2
P10586	Q8IVD9
P28827	Q96EV8
Q92932	Q5TA45
Q92932	Q7Z3U7
Q15256	Q9UL42
Q15256	Q96F44
O60942	P19387
O95248	P08123
Q8WYL5	Q9Y4I1
Q9NP77	Q10570
Q9NP77	Q92797
Q8WUJ0	Q7Z6M2
Q8WUJ0	P52294
Q9Y6J8	Q01082
Q63HR2	Q96M94
Q63HR2	O00267
Q63HR2	P46939
Q9HBL0	P46736
Q9HBL0	Q9UBT7
Q9HBL0	O60941
Q68CZ2	P11532
Q68CZ2	Q96C36
Q68CZ2	Q13425
P56180	Q9BXW9
P56180	O60271
Q6XPS3	Q96CS2
Q6XPS3	Q01804
Q8WVY7	P49721
Q8WVY7	P35998
Q8WVY7	P62333
Q8WVY7	O43242
Q8WVY7	P55036
Q8WVY7	Q15008
Q8WVY7	Q9Y5K5
Q9UNH5	O43293
Q9UNH5	Q4AC94
Q9UNH5	O15078
Q9UNH5	Q5TB80
Q9UNH5	Q9Y6M1
Q9UNH5	Q5BJF6
Q9UNH5	Q9H7E2
Q9UNH5	Q07157
O60729	P18887
O60729	Q15697
O60729	Q8ND82
O60729	Q9HC52
O60729	Q14781
O60729	Q8NEF9
O60729	Q96JM7
O60729	Q96BK5
O60729	Q2NL82
O60729	Q9NQZ2
O60729	Q15059
O60729	O95785
O60729	P17480
O60729	Q9BVI4
O60729	Q69YH5
O60729	Q8WUQ7
O60729	Q9BYG3
O60729	Q9UPP1
O60729	P52701
O60729	Q07021
O60729	O43592
O15194	Q14699
O15194	Q5VWQ8
O15194	Q70CQ4
O15194	Q4KMP7
O15194	O15020
O15194	Q9ULJ8
O15194	Q9UHN6
O15194	Q9NZ56
O15194	P35612
O15194	Q8IXS6
O15194	Q9HCM3
O15194	P35221
O15194	Q9Y5Y0
O15194	P80723
O15194	Q8NE01
O15194	Q6ZVF9
O15194	A0FGR8
O15194	Q07157
O15194	Q7Z2K8
O15194	P20020
O15194	Q9Y2G0
Q68J44	Q8TDY2
Q9UII6	P57740
Q8NEJ0	O95219
Q9BV47	Q96JN8
Q9BV47	P23470
O00167	O15014
O00167	Q9UHF7
O00167	O14497
O00167	P05549
O00167	Q04726
O00167	Q8NDV7
O00167	P42694
O00167	Q96C92
O00167	A5YKK6
Q9H0C8	O43395
Q9NYA4	Q92540
O60346	Q9UPW5
O60346	Q9Y266
O14830	Q96MX6
O14830	Q9H6T3
O14830	O94763
O14830	Q8IVD9
O14830	P62081
O14830	Q9UIM3
O75688	Q15046
Q9ULR3	O75976
Q9ULR3	P55327
Q9ULR3	O43399
Q9ULR3	Q15836
Q9ULR3	O15126
Q9ULR3	O15173
Q5JR12	Q99832
Q5JR12	P48643
Q5JR12	P50991
P60484	Q12923
O75365	Q92569
Q05209	P41240
P18433	Q3V6T2
P18433	Q9NYI0
P18433	O60645
P23467	P23470
P23469	Q96F07
P23469	Q14156
P23469	Q12959
P10586	O43156
P10586	A8MVW0
P10586	Q9Y2Z0
P23470	Q9Y5S2
P23470	Q96TA1
P23470	P35240
P23470	P35612
Q9HD43	Q8NFP9
Q9HD43	O75052
Q12913	Q6NUQ1
Q12913	O75052
Q12913	Q6WKZ4
Q15262	Q99569
Q15262	Q9H792
Q15262	O95487
P28827	Q8IWU2
P28827	Q9H223
P28827	Q5VT25
Q16849	Q9NYU2
Q16849	Q02809
Q16849	Q9UBS4
Q16849	P27824
Q16849	P39656
Q16849	Q92543
Q16849	P04844
Q92932	Q8IV36
Q92932	Q92543
Q92932	P08779
Q15256	Q9UNH7
Q13332	O75962
Q13332	P10586
Q92729	Q9NYB9
Q86WG5	P22314
Q8WYL5	O94832
Q76I76	O94832
Q8TE77	Q15751
Q8TE77	Q04206
Q8TE77	Q68DQ2
Q9NP77	Q9HCD5
P56180	Q8NFQ8
P56180	Q7L0Y3
P56180	Q96S66
P56180	Q9HBM0
P56180	Q07065
P56180	Q96NT0
P56180	O95573
P56180	O60503
Q6XPS3	O15078
Q6XPS3	Q9BR77
Q6XPS3	Q9Y6R9
Q6XPS3	Q9NPJ6
Q6XPS3	Q5VT06
Q6XPS3	Q86YT6
Q6XPS3	Q9Y2D8
Q16825	Q8IX03
P62491	Q9NYA4
Q96A65	Q9NYA4
P24666	O75165
P13686	P27797
P13686	Q9NYU2
P13686	Q9BRK5
P13686	Q14697
O60729	P82664
O60729	Q96DE0
O60729	Q9Y2Q9
O60729	Q9Y2R9
O60729	P82914
O60729	Q969Q0
O60729	Q9H2W6
O60729	Q9Y3D3
O60729	Q9HAN9
O60729	Q9NX20
O60729	Q00059
O60729	O60783
O60729	Q96GC5
P30304	Q96LR9
P30304	Q93096
P30304	P31947
P30304	Q658Y4
P30304	Q00526
P30304	P31948
P30304	Q96GX2
P30304	P78347
P30304	P63104
P30305	Q12834
P30305	O43852
P30305	P61289
P30307	P30307
P30307	Q96LR9
P30307	Q9HAV7
P30307	Q9GZT3
P30307	P56545
Q16667	Q8N1W1
Q16667	Q8TF46
P28562	P61923
P28562	O60725
P28562	P13073
P28562	Q99497
P28562	Q92572
P28562	P07741
P28562	P53004
O75319	Q9BYD3
O75319	Q9Y2R9
O75319	Q9NWU5
O75319	Q96DV4
P28562	Q7Z4H3
Q9UNI6	P84085
Q9UNI6	Q9H061
Q9UNI6	P41214
Q9UNI6	Q9Y3D8
Q9UNI6	Q9UN37
Q9UNI6	O75832
Q9UNI6	P07741
Q9UNI6	P24666
Q9UNI6	P63241
Q9UII6	Q9Y305
Q9UII6	Q9GZZ8
Q9UII6	Q14203
Q9UII6	Q13561
Q9UII6	Q8TD10
Q9UII6	P42025
Q9UII6	Q9NZ32
Q9UII6	O14618
Q9UII6	Q9BTZ2
Q9UII6	P63241
Q9UII6	Q96N67
Q9UII6	Q9Y3D8
Q9UII6	Q96RP9
Q9UII6	Q9UJW0
Q9UII6	P18669
Q9UII6	P07237
Q9UII6	Q96AY3
Q9UII6	P30041
Q9UII6	P04080
Q9UII6	P36957
Q9UII6	P27797
Q9UII6	Q8NBS9
Q9UII6	P62993
Q9UII6	Q9GZZ9
Q9UII6	P21912
Q9UII6	P33316
Q9UII6	P22061
Q9BY84	Q9BY84
Q9BY84	Q7Z5Y7
Q9BY84	P31946
Q9BY84	P04792
Q9BY84	Q9Y241
Q9BY84	P25685
Q8WTR2	Q147X3
Q8WTR2	Q9NYL9
Q8WTR2	P28482
Q8WTR2	P56134
Q8WTR2	P19623
Q8WTR2	Q92572
Q8WTR2	Q13561
Q8WTR2	Q9NQP4
Q8WTR2	Q99497
Q05923	Q8N4Q1
Q05923	Q92572
Q05923	Q9H061
Q05923	P63241
Q05923	Q99497
Q05923	P24666
Q05923	Q96IU4
Q9H596	Q14697
Q9H596	Q5HYI7
Q9H596	O96008
Q9H596	Q5SVS4
Q9H596	Q9BZG1
Q9H596	Q9BRK5
Q9H596	P49591
Q05923	Q13451
Q05923	P11441
Q05923	Q9UN37
Q9NRW4	P37802
Q9NRW4	P61106
Q9NRW4	Q9GZY8
Q9NRW4	Q9H3N1
Q9NRW4	Q07820
Q9NRW4	Q969X5
Q9NRW4	Q9NZJ7
Q9NRW4	P61026
Q9NRW4	P51151
Q9NRW4	O14662
Q9NRW4	Q9BV38
Q9NRW4	Q13232
Q9NRW4	Q8N128
Q9NRW4	Q9UM00
Q9NRW4	Q9UHG3
Q9NRW4	P62834
Q9NRW4	P40616
Q9NRW4	Q9BVT8
Q9BVJ7	Q9BUB7
Q9BVJ7	P07998
Q9BVJ7	O15173
Q9BVJ7	Q9Y277
Q9BVJ7	Q9BVG9
Q9BVJ7	Q13232
P60484	Q12959
P24385	Q96EV8
P55769	Q9UHK0
Q9BV47	Q9NWU2
Q9BV47	Q96N67
Q9BV47	O95071
Q4G0W2	P62937
Q4G0W2	P19623
Q4G0W2	Q9H773
Q4G0W2	P24666
Q4G0W2	P84085
Q4G0W2	P60891
Q4G0W2	Q9UHV9
Q4G0W2	O60725
P51452	P51452
P51452	P49902
P51452	Q5JSL3
P51452	Q86VS8
Q13115	Q96IU4
Q13115	Q6DKJ4
Q13115	P31040
Q13115	P42025
Q13115	P52564
Q13115	Q9UNI6
Q13115	Q9UII6
Q13115	P68036
Q13115	Q5TA31
Q13115	Q9C0C7
Q13115	P19623
Q13115	Q9Y6C9
Q16690	O43583
Q16828	O00258
Q16828	Q9P032
Q16828	Q99497
Q16828	Q6UXV4
Q16828	Q9BVV7
Q16828	Q68CQ7
Q16828	Q92572
Q16828	P60604
Q16828	Q9NPL8
Q16828	P19623
Q16828	Q9H9A5
Q16828	Q00403
Q16828	P13073
Q13202	Q13451
Q13202	P27361
Q13202	Q9Y657
Q13202	Q9Y3E5
Q13202	P28482
Q13202	P68036
Q13202	Q96FW1
Q13202	Q9UJU6
Q13202	Q9BU61
Q13202	O75832
Q99956	Q16828
Q99956	Q99471
Q99956	P29992
Q99956	P20645
Q99956	P62937
Q99956	Q99497
Q99956	P10301
Q99956	O95292
Q99956	P60763
Q99956	Q9P0L0
Q99956	Q8NFP7
O00167	Q8WUY1
O00167	P15735
O00167	Q93100
O00167	P23582
O00167	P46019
O00167	P28562
O00167	Q8TED1
O00167	P98173
O00167	Q9BU61
O00167	P62879
O00167	Q8TB36
O00167	P38117
Q99504	Q9BVV7
Q99504	P15531
Q99504	P20226
Q99504	Q8IWP9
O95677	O75880
O95677	O95817
O95677	Q04760
O95677	Q99959
O95677	Q8NDC0
Q13496	O43852
Q13496	P31948
Q13496	Q15070
Q13496	Q9UJZ1
Q9NXD2	Q9NXD2
Q9NXD2	Q13496
Q9C0I1	O43488
Q9C0I1	Q9Y5P6
Q9C0I1	O00217
Q8NCE2	Q8NCE2
Q8NCE2	P43652
Q8NCE2	Q8TDL5
Q8NCE2	Q9BYB4
Q8NCE2	Q96IJ6
Q8NCE2	P11802
Q8NCE2	O43819
Q9Y2M0	P53999
Q9Y2M0	Q8TAE8
Q9Y2M0	Q8WUP2
Q9Y2M0	P42696
Q13615	O43929
Q13615	Q8NDC0
Q13615	Q04837
Q9NYA4	Q9Y2S7
Q9NYA4	Q96CW1
O95248	Q9BRT2
O95248	Q15286
O95248	Q9P2B4
O95248	P31948
Q9Y217	P35610
Q9Y217	P49207
Q9Y216	Q9Y5S2
Q9Y216	P30566
Q9Y216	Q6UB35
Q9Y216	P82930
Q9Y216	Q13363
Q9Y216	P78347
Q9Y216	Q9H269
Q9Y216	O60716
Q9Y216	Q96N67
Q9Y216	O14965
Q96EF0	Q96EF0
Q96EF0	P31948
Q96EF0	Q86X55
Q96EF0	P11802
Q93096	Q93096
Q93096	Q9BQ75
Q93096	Q9UKD2
Q93096	Q9UQ80
Q93096	O14734
Q93096	Q9Y2Q9
Q93096	Q9BYG3
Q93096	Q7KZF4
Q96II8	Q8NF50
Q6P1K2	Q9H410
O75030	P19484
Q13503	O43513
Q6P1K2	Q96IY1
Q14155	Q15052
Q8N3I7	Q8NFJ9
Q9Y597	Q8TBC3
Q9Y5F2	Q9Y5F1
Q9Y243	P31749
Q01201	Q04864
Q6NUQ1	Q8WU76
Q9BUE0	O43513
Q9HAF1	Q9NQC1
Q8N668	Q9Y6G5
Q9NP55	P59826
P21579	Q8N9I0
Q9Y5I2	Q9Y5H7
Q96A70	P54368
Q9NZ94	Q8NFZ3
P17275	P15336
Q13503	Q9BUE0
P32189	Q14409
Q8N668	Q8TCE6
Q9Y6G5	Q9UBI1
Q9NWT6	O96018
Q6P1K2	Q9HBM1
Q08AM6	Q92562
P11464	Q00888
Q6NT52	A6NKQ9
Q12926	Q14576
P62304	P63162
A5YM69	Q12774
Q9ULW8	Q9UM07
Q9Y5I2	Q9Y5H6
Q9Y5I2	Q9Y5H8
O60656	Q9HAW8
Q99856	A6NKF2
Q9H967	Q9H2C0
Q14508	Q562E7
Q9NVX7	Q86Y37
Q8TAG9	O60645
P48443	P19793
Q9Y5I2	Q9Y5I0
P13631	P10276
Q96L93	Q7L1V2
P20815	P24462
Q9Y6G5	Q9H0A8
Q16665	P13533
Q9H7C4	P41219
P11712	P33261
Q8WYP3	Q9BSU3
Q96B97	Q14676
Q01105	Q9BWE0
Q96LZ2	O15481
Q86X83	Q9UBI1
P21802	P22607
P48382	O14593
P10696	Q9Y5T5
Q9BQ83	Q9BQ83
P20853	Q16696
Q9Y5I2	Q9UN72
Q9NY99	P11532
Q14123	Q01064
Q92569	Q9Y4H2
Q9NTU7	Q92547
P43250	P34947
Q7Z4G1	Q8TCE6
Q7Z4G1	Q86X83
Q9NWT6	Q8WXD9
Q8IUR0	Q8WVT3
Q13901	Q9Y3B2
Q9BVQ7	P0DMV8
Q8IYI6	Q8TAG9
Q14722	Q13303
O75379	Q99747
P08134	P61586
Q9Y5H8	Q9UN73
P32456	Q9H0R5
Q9UHB9	P61011
P40937	O75943
Q9NWQ4	P19784
Q9Y6M4	Q9HCP0
Q6PJI9	Q13322
P30520	Q8N142
Q9NX31	Q8IV20
Q99576	Q9Y3Q8
P15882	P52757
P35711	Q9UN79
Q86X40	Q93034
O60826	Q13614
Q9UJ41	Q9H5N1
O15320	P0CG41
P05014	P01567
O75610	O00292
Q9NYB9	Q70E73
P35080	Q93015
Q9UQ03	Q92828
Q4VC05	P0CG39
Q9UQ74	P11464
Q9Y2R9	Q96RU2
P78348	Q16515
Q6ICB4	P32019
Q8NI37	Q8WWV3
P53680	Q2M2I8
Q9HC44	Q9H0R6
Q9Y519	Q8TAD8
O75558	P61764
P62633	Q9BRZ2
P49005	O60673
Q9NYP9	Q2M329
Q9NYR9	Q2PPJ7
Q7Z7C8	Q5VWG9
Q14203	O95198
P36980	Q03591
Q9BQK8	Q14693
Q9NP66	Q9NQZ6
Q99767	Q02410
Q96FX2	Q9UGK8
Q8IYD1	P15170
Q5T1C6	Q8TD30
Q15678	Q96QZ7
Q9H7D0	Q9Y6X8
Q99742	P27540
P01562	P01562
P43026	Q8N9M5
Q9NX14	P17568
Q9NVP2	Q9Y6J0
O14978	Q8NF99
Q04726	P12883
Q17R89	Q5T0N5
Q9Y4Y9	Q86TB9
Q9NVP2	Q9NPG3
Q9NYB9	Q92558
Q9NYR9	Q3B7J2
Q8WVL7	Q9NWT6
Q96FT9	Q9P2L0
Q9Y4Y9	Q9Y253
Q9H7D0	P50993
Q96RJ6	P15923
P25791	Q5T7V8
Q7Z739	Q9BYJ9
Q15052	Q9NVF7
O43491	Q9H4G0
Q9UBQ0	Q96NW4
Q03519	Q03518
Q6P9F7	Q7L1W4
Q14195	Q14194
Q9NY99	Q9Y4J8
Q9BT43	Q9Y535
Q9BS26	Q8IX07
Q01850	Q86X02
O75558	Q15833
Q9Y5P4	Q7KZI7
Q02641	Q08289
Q92882	O75695
Q02809	Q14031
Q9GZV8	Q06455
O43716	O75879
Q9UN71	Q9Y5G1
Q86VW1	Q96PP8
P09917	Q96C34
Q13503	Q6P2C8
P42357	Q9HB20
O43395	Q9H6E5
Q13503	Q9BTT4
Q4VC05	Q08AE8
Q8IXL7	Q8IXQ5
Q9NPC8	O95677
Q8N4N8	Q9BRV8
P49720	P28065
Q9NYL9	Q9Y6U3
P62826	P0DJD1
P61769	P0DJD1
P35249	Q8WVB6
Q13901	Q15024
Q02080	Q14814
P55286	Q99569
O95639	Q9NRG4
Q96BJ8	Q14185
Q8N3L3	Q96EV8
Q4VC05	Q8IZ21
Q9UNY5	O75962
Q9H3K2	Q6SZW1
Q8N3L3	Q66GS9
Q9Y294	Q58A45
Q86YP4	Q13547
Q8TDR4	Q6ZMI0
Q9H9Y2	Q9BXY0
P13497	O43897
Q96RJ6	Q99081
Q13671	P01116
P48426	P17480
P61962	Q9HCM7
Q53H12	Q9Y5J6
P01562	P01568
Q9Y5X1	O43426
Q9HAF1	Q9ULD4
P02741	Q7LGC8
O75167	P0CG38
Q8N4B1	P32019
Q92843	Q96PG8
P05067	O00748
Q13503	Q9NWA0
Q8TD17	Q9UDV7
Q7Z4N8	Q9ULU4
Q6NUQ1	A2RRP1
Q86WT1	Q8WYA0
P86478	Q8IUQ4
Q86WT1	Q8TDR0
Q9Y5H8	Q9Y5I1
O76081	Q9BTE6
O60645	Q15643
Q9Y343	Q14C86
Q9Y3B2	Q7Z6K3
Q12798	O43147
P17275	Q02930
Q8WUZ0	Q9H8M2
Q96LZ2	Q8WV22
Q14168	Q9HAP6
Q8WVZ9	Q96SQ9
P23409	P15884
Q5VWQ8	Q92625
Q6PEY0	Q9HAC8
Q13503	Q9P086
Q9UIL1	Q9Y2I9
P52790	Q2TB90
Q8IUR0	Q9UL33
Q16878	Q96CX6
O15040	P49754
Q96FJ0	O75146
P10276	P10826
Q8WUZ0	Q8IZ21
Q86WT1	Q9Y366
Q9Y6C2	Q8N5C8
Q96SI9	O43390
Q96RJ6	P15884
O00409	P48380
Q9NQ34	P51795
P50895	Q16363
P0DI81	Q9UL33
Q9UJY5	P51790
Q9NPC8	Q99504
Q92572	O00203
P86478	O43255
P01222	Q8IUD2
Q16665	P11055
A6NI79	Q9H9A7
P52306	O95057
Q8IUR0	A5PLN9
Q96JJ6	Q96CN9
Q9NY99	Q13425
Q9UKZ1	Q9ULM6
Q8NFJ9	Q96RK4
Q86W54	Q5H9S7
Q6P9F7	Q8TDW0
Q8N2M8	Q9Y383
Q9Y5G3	Q9Y5H2
P04004	Q9BZF9
Q96RU8	Q9UDY8
Q9NXL2	Q7Z460
Q01814	Q16720
Q5TAB7	Q04725
Q9Y5P4	P27448
Q4VC05	O75167
P35237	P50452
Q9NV70	Q9HCH0
O43741	O95210
Q9UI08	Q96FX7
P32456	Q8N8V2
P52306	P17480
Q9H7C4	Q96JN2
Q9Y216	Q9Y217
Q16665	P68133
O95198	O00750
Q9H7C4	Q5JTD0
P07197	P17661
Q15311	Q8NCY6
Q9NYB9	Q9Y2A7
Q8NFX7	Q96Q42
Q5T2W1	P11274
Q8N3I7	Q3SYG4
Q15120	Q15119
Q92519	Q7L5Y6
Q5VX52	Q86UE8
P29279	Q09472
P48426	Q92541
Q9H0U9	Q9H2G4
Q15311	Q9BW19
Q3KR16	Q9Y5G8
Q96PP8	P32455
Q8NCE0	Q9C091
Q8N7C3	Q53HC0
Q96FN4	Q9H5N1
Q9Y546	Q13618
Q9BQG1	Q6XYQ8
Q9BTE6	Q9H8W5
Q8TB22	Q9HCJ3
P53680	Q15811
Q8IUR0	O75865
Q92519	Q8N2I9
P43026	Q96QF0
Q6NYC1	Q5VTL8
Q96B54	Q7Z3K3
Q9UI47	P12830
P17275	P17544
Q14627	Q63HK5
Q9NRS6	P49902
P47870	P28472
Q9NRW1	Q9H0N0
Q9Y5R8	Q86SZ2
Q8WYQ3	Q8NAF0
Q9BT43	P05423
P62491	P57735
Q86YS3	Q8NFZ5
Q96JM7	Q5VXD3
O15146	Q9UKF2
Q9NYB9	Q8WUW1
P37268	Q8NFA0
O14602	Q8N4N3
O60711	Q05397
O15496	Q8TD30
Q8IUR0	Q86SZ2
P78346	Q9BUL9
Q8WW35	Q8WVS4
P61421	Q8N8Y2
Q96JJ6	Q9NS91
Q7Z3B3	A8MW92
Q8N4P2	Q9NQC8
Q32MZ4	Q9NYL9
Q9H609	Q7Z3K3
Q6QEF8	Q9ULV4
Q9C0K7	Q9Y376
P13995	Q9H903
Q8NFJ9	Q8IWZ6
Q59EK9	Q96NL0
Q9Y6A4	Q9Y2Y0
P61421	P48357
Q96JJ6	Q9HD67
P52815	Q9UPN4
O76081	Q86TV6
P08887	O15344
Q96FJ0	O95630
Q00765	O95140
Q86XE0	Q9UNH7
Q9NYQ3	Q86W92
Q9NX08	Q96RL1
Q9H8H2	P01871
Q9NX08	Q9P000
P61024	Q9H211
Q8N0X7	Q9UBT6
P20155	P30047
B2RXF5	Q9UF56
O15063	Q8N5S9
Q9H5V8	Q6PCB0
Q9NY99	P46939
P48426	Q8TF01
Q92930	Q7RTP6
P26439	P42898
Q13515	P51955
Q9BSL1	P62979
Q9NU19	Q9UJ71
Q6P9F7	Q8IWT6
Q9NQP4	Q8IZ73
Q6IPR3	Q9Y496
Q6IPR3	O00139
P33151	O00192
Q08499	Q07343
Q96SI9	Q12905
Q9Y5G3	Q9P2E7
Q66K89	Q96JB3
Q9BRJ7	Q96DE0
Q8IXB1	Q9UBF8
Q9H160	Q9H3R5
P08670	P17661
Q9H8H2	P01833
Q3MIR4	O14917
Q9BVI0	Q9P2N6
P16104	Q96HA7
Q9GZM8	Q9UPS8
O15296	Q8IY47
P52815	Q9P0V9
O95081	Q9NQZ5
Q86X83	Q567U6
Q9Y5R8	Q9Y296
O60256	Q9Y6Y0
Q9NX14	O43181
P50616	Q96LI5
Q9Y2B0	Q14807
Q96DX7	Q53HL2
Q96FN4	Q9UPU5
P50150	P08754
Q7Z4N8	Q8N1G0
Q8NFN8	Q8TBZ8
Q9NWZ8	Q9H840
P53680	Q0JRZ9
Q9UIL1	Q86XA9
Q96HN2	O43865
O60603	P42229
Q9Y5G8	O95822
P48426	Q6ZN04
Q96F44	Q8N5S9
Q9UJT0	Q9UJT1
P61769	P55899
P31150	Q8IZ41
A8K8V0	Q96HP0
Q9Y6C2	Q86VP1
Q8N878	Q8TAX7
Q8NA61	Q8IUD2
Q969R5	P28290
O96018	Q9H6S1
